Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: cat
Parent(s): cat_015.dat cat_013.dat cat_017.dat cat_011.dat
  9.018700e-01   3.556760e+00   6.857810e-02
  9.046040e-01   3.534180e+00   6.889680e-02
  9.073380e-01   3.514040e+00   6.816100e-02
  9.100720e-01   3.424240e+00   6.854860e-02
  9.128060e-01   3.239500e+00   6.766650e-02
  9.155400e-01   3.259470e+00   6.702380e-02
  9.182740e-01   3.207830e+00   6.797810e-02
  9.210090e-01   3.074850e+00   6.746710e-02
  9.237430e-01   3.087070e+00   6.739970e-02
  9.264770e-01   2.952410e+00   6.730390e-02
  9.292110e-01   2.940680e+00   6.537420e-02
  9.319450e-01   2.935740e+00   6.668180e-02
  9.346790e-01   2.862290e+00   6.598210e-02
  9.374130e-01   2.845270e+00   6.684790e-02
  9.401470e-01   2.759800e+00   6.645150e-02
  9.428810e-01   2.660190e+00   6.520700e-02
  9.456150e-01   2.813140e+00   6.668030e-02
  9.483490e-01   2.687490e+00   6.503090e-02
  9.510830e-01   2.558690e+00   6.555500e-02
  9.538170e-01   2.591100e+00   6.554330e-02
  9.565510e-01   2.606780e+00   6.545890e-02
  9.592850e-01   2.558840e+00   6.572290e-02
  9.620190e-01   2.431200e+00   6.441570e-02
  9.647530e-01   2.535440e+00   6.513820e-02
  9.674870e-01   2.480970e+00   6.460800e-02
  9.702210e-01   2.332350e+00   6.461840e-02
  9.729550e-01   2.289740e+00   6.484380e-02
  9.756890e-01   2.331250e+00   6.407290e-02
  9.784230e-01   2.258120e+00   6.502990e-02
  9.811570e-01   2.252450e+00   6.366800e-02
  9.838920e-01   2.336920e+00   6.511850e-02
  9.866260e-01   2.116360e+00   6.418070e-02
  9.893600e-01   2.237370e+00   6.400390e-02
  9.920940e-01   2.038640e+00   6.386600e-02
  9.948280e-01   2.166540e+00   6.328570e-02
  9.975620e-01   2.061770e+00   6.395980e-02
  1.000300e+00   2.110400e+00   6.271180e-02
