Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
 6.859040e-001  9.123741e+002  1.266450e+001
 6.886600e-001  9.370890e+002  1.267929e+001
 6.914170e-001  9.317630e+002  1.247689e+001
 6.941730e-001  9.129474e+002  1.264707e+001
 6.969300e-001  9.087763e+002  1.256119e+001
 6.996860e-001  9.271920e+002  1.257299e+001
 7.024420e-001  9.169521e+002  1.256629e+001
 7.051990e-001  9.190114e+002  1.244400e+001
 7.079550e-001  9.129698e+002  1.257749e+001
 7.107120e-001  9.029919e+002  1.235509e+001
 7.134680e-001  9.233419e+002  1.247433e+001
 7.162250e-001  9.015862e+002  1.248247e+001
 7.189810e-001  9.157965e+002  1.238535e+001
 7.217370e-001  9.200943e+002  1.249679e+001
 7.244940e-001  9.185596e+002  1.233252e+001
 7.272500e-001  8.631948e+002  1.237735e+001
 7.300070e-001  9.207495e+002  1.233224e+001
 7.327630e-001  9.000570e+002  1.230193e+001
 7.355200e-001  8.897408e+002  1.233379e+001
 7.382760e-001  9.026096e+002  1.221191e+001
 7.410330e-001  8.972184e+002  1.230417e+001
 7.437890e-001  8.805501e+002  1.222270e+001
 7.465450e-001  8.727710e+002  1.225361e+001
 7.493020e-001  8.726296e+002  1.224280e+001
 7.520580e-001  8.757090e+002  1.214776e+001
 7.548150e-001  8.950254e+002  1.224708e+001
 7.575710e-001  9.096001e+002  1.207194e+001
 7.603280e-001  8.415912e+002  1.209190e+001
 7.630840e-001  8.652741e+002  1.211368e+001
 7.658400e-001  8.623873e+002  1.202597e+001
 7.685970e-001  8.488001e+002  1.211275e+001
 7.713530e-001  8.782881e+002  1.199674e+001
 7.741100e-001  8.647448e+002  1.205340e+001
 7.768660e-001  8.740462e+002  1.202725e+001
 7.796230e-001  8.727399e+002  1.207843e+001
 7.823790e-001  8.614364e+002  1.199567e+001
 7.851360e-001  8.591994e+002  1.196545e+001
 7.878920e-001  8.438474e+002  1.200434e+001
 7.906480e-001  8.528084e+002  1.194341e+001
 7.934050e-001  8.681522e+002  1.202593e+001
 7.961610e-001  8.524686e+002  1.221173e+001
 7.989180e-001  8.436516e+002  1.228602e+001
 8.016740e-001  8.239069e+002  1.247435e+001
 8.044310e-001  8.018491e+002  1.235261e+001
 8.071870e-001  8.342645e+002  1.252710e+001
 8.099430e-001  8.189570e+002  1.251377e+001
 8.127000e-001  8.482706e+002  1.259287e+001
 8.154560e-001  8.338488e+002  1.271074e+001
 8.182130e-001  8.214149e+002  1.261877e+001
 8.209690e-001  8.298865e+002  1.277435e+001
 8.237260e-001  8.269333e+002  1.270603e+001
 8.264820e-001  8.321125e+002  1.289734e+001
 8.292390e-001  8.332640e+002  1.292651e+001
 8.319950e-001  8.119503e+002  1.279793e+001
 8.347510e-001  7.912510e+002  1.300516e+001
 8.375080e-001  7.964313e+002  1.283814e+001
 8.402640e-001  8.089115e+002  1.297181e+001
 8.430210e-001  8.136841e+002  1.298033e+001
 8.457770e-001  8.037001e+002  1.296701e+001
 8.485340e-001  7.964730e+002  1.300733e+001
 8.512900e-001  7.880670e+002  1.289205e+001
 8.540470e-001  7.975154e+002  1.266607e+001
 8.568030e-001  8.039750e+002  1.252328e+001
 8.595590e-001  8.004221e+002  1.244908e+001
 8.623160e-001  8.114065e+002  1.246031e+001
 8.650720e-001  7.645689e+002  1.225781e+001
 8.678290e-001  7.840004e+002  1.229912e+001
 8.705850e-001  7.774312e+002  1.212696e+001
 8.733420e-001  7.685171e+002  1.223135e+001
 8.760980e-001  7.712858e+002  1.206939e+001
 8.788540e-001  7.805046e+002  1.206272e+001
 8.816110e-001  7.779978e+002  1.209364e+001
 8.843670e-001  7.701881e+002  1.193701e+001
 8.871240e-001  7.453790e+002  1.194748e+001
 8.898800e-001  7.428788e+002  1.189952e+001
 8.926370e-001  7.788846e+002  1.197648e+001
 8.953930e-001  7.706632e+002  1.192794e+001
 8.981500e-001  7.737179e+002  1.197559e+001
 9.009060e-001  7.630690e+002  1.230317e+001
 9.036620e-001  7.485052e+002  1.225889e+001
 9.064190e-001  7.824995e+002  1.242555e+001
 9.091750e-001  7.720481e+002  1.243986e+001
 9.119320e-001  7.542612e+002  1.244372e+001
 9.146880e-001  7.691209e+002  1.259945e+001
 9.174450e-001  7.365645e+002  1.244036e+001
 9.202010e-001  7.382490e+002  1.260907e+001
 9.229570e-001  7.446083e+002  1.248851e+001
 9.257140e-001  7.340316e+002  1.252344e+001
 9.284700e-001  7.445687e+002  1.224407e+001
 9.312270e-001  7.256439e+002  1.198698e+001
 9.339830e-001  7.175813e+002  1.200160e+001
 9.367400e-001  7.265102e+002  1.185117e+001
 9.394960e-001  7.656743e+002  1.188681e+001
 9.422530e-001  7.285921e+002  1.187014e+001
 9.450090e-001  7.142710e+002  1.165404e+001
 9.477650e-001  7.357003e+002  1.178499e+001
 9.505220e-001  7.343802e+002  1.160653e+001
 9.532780e-001  7.038073e+002  1.169288e+001
 9.560350e-001  7.001139e+002  1.167734e+001
 9.587910e-001  7.299797e+002  1.157527e+001
 9.615480e-001  7.383553e+002  1.168718e+001
 9.643040e-001  7.142646e+002  1.151512e+001
 9.670610e-001  6.898857e+002  1.160054e+001
 9.698170e-001  6.958535e+002  1.147619e+001
 9.725730e-001  7.137970e+002  1.147830e+001
 9.753300e-001  7.048417e+002  1.153835e+001
 9.780860e-001  6.897078e+002  1.138972e+001
 9.808430e-001  6.610109e+002  1.135736e+001
 9.835990e-001  6.891681e+002  1.129864e+001
 9.863560e-001  6.627567e+002  1.135620e+001
 9.891120e-001  6.678921e+002  1.133619e+001
 9.918680e-001  6.804777e+002  1.128031e+001
 9.946250e-001  6.738998e+002  1.132885e+001
 9.973810e-001  6.737516e+002  1.115885e+001
 1.000140e+000  6.874714e+002  1.127729e+001
 1.002890e+000  6.674129e+002  1.116773e+001
 1.005650e+000  6.712230e+002  1.118809e+001
 1.008410e+000  6.722356e+002  1.122014e+001
 1.011160e+000  6.697420e+002  1.117198e+001
 1.013920e+000  6.699410e+002  1.118420e+001
 1.016680e+000  6.693905e+002  1.105201e+001
 1.019430e+000  6.760918e+002  1.112459e+001
 1.022190e+000  6.476593e+002  1.113191e+001
 1.024950e+000  6.623890e+002  1.106212e+001
 1.027700e+000  6.454874e+002  1.108350e+001
 1.030460e+000  6.421408e+002  1.101504e+001
 1.033220e+000  6.571082e+002  1.104760e+001
 1.035970e+000  6.659030e+002  1.106898e+001
 1.038730e+000  6.436008e+002  1.095536e+001
 1.041480e+000  6.381219e+002  1.100773e+001
 1.044240e+000  6.323069e+002  1.090156e+001
 1.047000e+000  6.366276e+002  1.099025e+001
 1.049750e+000  6.314754e+002  1.090166e+001
 1.052510e+000  6.375221e+002  1.091796e+001
 1.055270e+000  6.441381e+002  1.092521e+001
 1.058020e+000  6.208808e+002  1.087921e+001
 1.060780e+000  6.401274e+002  1.091391e+001
 1.063540e+000  6.302058e+002  1.078757e+001
 1.066290e+000  6.061527e+002  1.085532e+001
 1.069050e+000  6.156744e+002  1.080107e+001
 1.071810e+000  6.347887e+002  1.079979e+001
 1.074560e+000  6.254776e+002  1.080713e+001
 1.077320e+000  6.019517e+002  1.070668e+001
 1.080070e+000  5.935342e+002  1.082906e+001
 1.082830e+000  6.084260e+002  1.073877e+001
 1.085590e+000  6.076178e+002  1.074723e+001
 1.088340e+000  6.110297e+002  1.078143e+001
 1.091100e+000  5.930367e+002  1.064408e+001
 1.093860e+000  5.888179e+002  1.078062e+001
 1.096610e+000  6.191148e+002  1.062321e+001
 1.099370e+000  5.661933e+002  1.066243e+001
 1.102130e+000  5.908933e+002  1.065176e+001
 1.104880e+000  5.728143e+002  1.061689e+001
 1.107640e+000  5.980011e+002  1.069472e+001
 1.110400e+000  6.055444e+002  1.054095e+001
 1.113150e+000  5.819068e+002  1.062868e+001
 1.115910e+000  5.892043e+002  1.059735e+001
 1.118660e+000  5.861313e+002  1.055447e+001
 1.121420e+000  5.794399e+002  1.057656e+001
 1.124180e+000  5.862046e+002  1.052583e+001
 1.126930e+000  5.709309e+002  1.053721e+001
 1.129690e+000  5.952037e+002  1.056014e+001
 1.132450e+000  5.647206e+002  1.046664e+001
 1.135200e+000  5.604715e+002  1.048193e+001
