Sample:   c= 8.5500 mg/ml  Code: 
Parent(s): C:/Maxim/Waxs_water_consensus/Comparall/Bsa/bsa_secwaxs_20170423c.dat C:/Maxim/Waxs_water_consensus/Comparall/Bsa/bsa0_hepesbsa0_0018.dat
 1.926430e+000  4.336651e-001  4.578459e-003
 1.929170e+000  4.502952e-001  2.148321e-002
 1.936160e+000  4.246826e-001  4.563462e-003
 1.939720e+000  4.205832e-001  2.117521e-002
 1.945890e+000  4.256383e-001  4.547944e-003
 1.950280e+000  4.540972e-001  2.186070e-002
 1.955620e+000  4.024020e-001  4.528067e-003
 1.960830e+000  4.198214e-001  2.130046e-002
 1.965350e+000  4.011165e-001  4.514122e-003
 1.971380e+000  4.105366e-001  2.138525e-002
 1.975080e+000  4.038416e-001  4.514171e-003
 1.981930e+000  4.475832e-001  2.185100e-002
 1.984810e+000  3.992209e-001  4.435974e-003
 1.992480e+000  3.771538e-001  2.178843e-002
 1.994550e+000  3.811746e-001  4.434257e-003
 2.003030e+000  3.917376e-001  2.186186e-002
 2.004280e+000  3.797033e-001  4.422439e-003
 2.013580e+000  3.861521e-001  2.155394e-002
 2.014010e+000  3.762055e-001  4.413443e-003
 2.023740e+000  3.668483e-001  4.362034e-003
 2.024140e+000  3.626676e-001  2.174181e-002
 2.033470e+000  3.672218e-001  4.347073e-003
 2.034690e+000  3.693902e-001  2.213254e-002
 2.043200e+000  3.552752e-001  4.314464e-003
 2.045240e+000  3.645240e-001  2.183656e-002
 2.052930e+000  3.598055e-001  4.316679e-003
 2.055790e+000  3.910275e-001  2.175370e-002
 2.062660e+000  3.440266e-001  4.281987e-003
 2.066340e+000  3.342100e-001  2.071585e-002
 2.072390e+000  3.436141e-001  4.263041e-003
 2.076890e+000  3.301092e-001  2.066081e-002
 2.082130e+000  3.389888e-001  4.265281e-003
 2.087450e+000  3.447291e-001  2.053867e-002
 2.091860e+000  3.368374e-001  4.261832e-003
 2.098000e+000  3.382401e-001  1.992844e-002
 2.101590e+000  3.309521e-001  4.211209e-003
 2.108550e+000  3.328277e-001  2.005395e-002
 2.111320e+000  3.282270e-001  4.167100e-003
 2.119100e+000  3.520573e-001  1.969050e-002
 2.121050e+000  3.131661e-001  4.209236e-003
 2.129650e+000  3.237399e-001  1.979380e-002
 2.130780e+000  3.117882e-001  4.156829e-003
 2.140200e+000  3.257557e-001  1.959013e-002
 2.140510e+000  3.192084e-001  4.157351e-003
 2.150240e+000  3.053412e-001  4.107835e-003
 2.150750e+000  3.077041e-001  1.935887e-002
 2.159970e+000  3.006728e-001  4.088105e-003
 2.161310e+000  2.977851e-001  1.948241e-002
 2.169700e+000  2.910331e-001  4.077338e-003
 2.171860e+000  3.182121e-001  1.930589e-002
 2.179440e+000  3.000735e-001  4.062406e-003
 2.182410e+000  3.063866e-001  1.919533e-002
 2.189170e+000  2.924178e-001  4.021605e-003
 2.192960e+000  2.923809e-001  1.897883e-002
