Sample description: Apoferritin_1_ball extrapolated to I(0)
Sample: extrapolated  c= 1 mg/ml  Code: extrapolated
 6.423928e-002  4.165685e-002  3.526949e-004
 6.462071e-002  4.135290e-002  3.496205e-004
 6.500214e-002  4.045289e-002  3.446328e-004
 6.538371e-002  4.013888e-002  3.384990e-004
 6.576514e-002  3.862533e-002  3.312460e-004
 6.614657e-002  3.902575e-002  3.276815e-004
 6.652801e-002  3.832168e-002  3.270343e-004
 6.690958e-002  3.800550e-002  3.259425e-004
 6.729101e-002  3.739513e-002  3.163177e-004
 6.767244e-002  3.632094e-002  3.131813e-004
 6.805387e-002  3.599655e-002  3.048039e-004
 6.843544e-002  3.558543e-002  3.069306e-004
 6.881687e-002  3.523729e-002  3.029155e-004
 6.919831e-002  3.470522e-002  2.984077e-004
 6.957974e-002  3.418042e-002  2.959261e-004
 6.996117e-002  3.414312e-002  2.946879e-004
 7.034274e-002  3.358031e-002  2.897332e-004
 7.072417e-002  3.357316e-002  2.876549e-004
 7.110560e-002  3.273360e-002  2.858530e-004
 7.148704e-002  3.265703e-002  2.859267e-004
 7.186861e-002  3.209692e-002  2.818557e-004
 7.225004e-002  3.187857e-002  2.806969e-004
 7.263147e-002  3.122139e-002  2.764254e-004
 7.301290e-002  3.139718e-002  2.777859e-004
 7.339447e-002  3.055173e-002  2.740203e-004
 7.377590e-002  3.076640e-002  2.734494e-004
 7.415734e-002  3.042629e-002  2.709945e-004
 7.453877e-002  3.003254e-002  2.679448e-004
 7.492020e-002  2.987099e-002  2.683251e-004
 7.530177e-002  2.974573e-002  2.636187e-004
 7.568320e-002  2.935893e-002  2.647421e-004
 7.606463e-002  2.908923e-002  2.606934e-004
 7.644607e-002  2.923174e-002  2.613312e-004
 7.682764e-002  2.844274e-002  2.593431e-004
 7.720907e-002  2.850591e-002  2.541931e-004
 7.759050e-002  2.841703e-002  2.571493e-004
 7.797193e-002  2.834815e-002  2.571797e-004
 7.835350e-002  2.846299e-002  2.546622e-004
 7.873493e-002  2.789388e-002  2.542646e-004
 7.911637e-002  2.769211e-002  2.478246e-004
 7.949780e-002  2.713716e-002  2.509582e-004
 7.987923e-002  2.738017e-002  2.489621e-004
 8.026080e-002  2.695403e-002  2.449658e-004
 8.064223e-002  2.732897e-002  2.485685e-004
 8.102366e-002  2.700517e-002  2.441135e-004
 8.140510e-002  2.696883e-002  2.483735e-004
